,field_id,name,title,abb,Order,Suborder,Group,Subgroup,drug_exposure,cov1,n1,beta1,se1,p1,cov2,n2,beta2,se2,p2,cov3,n3,beta3,se3,p3,p1_FDR,p2_FDR,p3_FDR
10,X23470.0.0,Glucose,Glucose,glc,2,,Glycolysis related metabolites,,PPI_bf,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2,45569,0.03371317,0.021882624,0.12341221,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2 + f.21001.0.0 + current_smk + log_alcohol_weekly_g,45087,0.016145477,0.02196431,0.462295915,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2 + f.21001.0.0 + current_smk + log_alcohol_weekly_g + f.189.0.0 + waist_hip_ratio + as.factor(father_history) + as.factor(mother_history),40423,-0.00242403,0.023222767,0.916867025,0.140961653,0.506207928,0.931836283
11,X23471.0.0,Lactate,Lactate,lac,2,,Glycolysis related metabolites,,PPI_bf,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2,45569,0.04977146,0.020381592,0.014610695,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2 + f.21001.0.0 + current_smk + log_alcohol_weekly_g,45087,0.036000589,0.020495072,0.079001586,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2 + f.21001.0.0 + current_smk + log_alcohol_weekly_g + f.189.0.0 + waist_hip_ratio + as.factor(father_history) + as.factor(mother_history),40423,0.029215428,0.021853337,0.18126727,0.018154008,0.099050327,0.224108988
12,X23472.0.0,Pyruvate,Pyruvate,pyr,2,,Glycolysis related metabolites,,PPI_bf,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2,45569,0.000583003,0.00054602,0.285647256,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2 + f.21001.0.0 + current_smk + log_alcohol_weekly_g,45087,0.000249659,0.000550493,0.650177413,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2 + f.21001.0.0 + current_smk + log_alcohol_weekly_g + f.189.0.0 + waist_hip_ratio + as.factor(father_history) + as.factor(mother_history),40423,2.63e-05,0.000588294,0.964309254,0.313884231,0.688325577,0.967417422
13,X23473.0.0,Citrate,Citrate,cit,2,,Glycolysis related metabolites,,PPI_bf,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2,45569,-0.000541595,0.000236869,0.022231213,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2 + f.21001.0.0 + current_smk + log_alcohol_weekly_g,45087,-0.00061811,0.000236666,0.009011213,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2 + f.21001.0.0 + current_smk + log_alcohol_weekly_g + f.189.0.0 + waist_hip_ratio + as.factor(father_history) + as.factor(mother_history),40423,-0.000543448,0.000252599,0.031448579,0.027215202,0.012719909,0.045633428
14,X23474.0.0,3-Hydroxybutyrate,3-Hydroxybutyrate,bohbut,3,,Ketone bodies,,PPI_bf,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2,45569,-0.004378347,0.001202265,0.000271092,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2 + f.21001.0.0 + current_smk + log_alcohol_weekly_g,45087,-0.003418389,0.001206094,0.004595165,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2 + f.21001.0.0 + current_smk + log_alcohol_weekly_g + f.189.0.0 + waist_hip_ratio + as.factor(father_history) + as.factor(mother_history),40423,-0.003470514,0.001293432,0.007295471,0.00037965,0.006714766,0.011857521
15,X23475.0.0,Acetate,Acetate,ace,3,,Ketone bodies,,PPI_bf,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2,45569,-0.000541455,0.000243268,0.026035631,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2 + f.21001.0.0 + current_smk + log_alcohol_weekly_g,45087,-0.000326745,0.000244555,0.181530295,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2 + f.21001.0.0 + current_smk + log_alcohol_weekly_g + f.189.0.0 + waist_hip_ratio + as.factor(father_history) + as.factor(mother_history),40423,-0.000270592,0.000258296,0.294828007,0.031685591,0.214833857,0.34858582
16,X23476.0.0,Acetoacetate,Acetoacetate,acace,3,,Ketone bodies,,PPI_bf,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2,45569,-0.00089923,0.000250091,0.000323973,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2 + f.21001.0.0 + current_smk + log_alcohol_weekly_g,45087,-0.00083049,0.000250493,0.000915762,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2 + f.21001.0.0 + current_smk + log_alcohol_weekly_g + f.189.0.0 + waist_hip_ratio + as.factor(father_history) + as.factor(mother_history),40423,-0.000875244,0.000267663,0.001076568,0.000450667,0.001432317,0.001950986
17,X23477.0.0,Acetone,Acetone,acetone,3,,Ketone bodies,,PPI_bf,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2,45569,-0.000539306,0.000108369,6.5e-07,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2 + f.21001.0.0 + current_smk + log_alcohol_weekly_g,45087,-0.000416007,0.000108665,0.000129193,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2 + f.21001.0.0 + current_smk + log_alcohol_weekly_g + f.189.0.0 + waist_hip_ratio + as.factor(father_history) + as.factor(mother_history),40423,-0.000405376,0.000116903,0.000525625,1.05e-06,0.000216773,0.000982588
18,X23480.0.0,Glycoprotein Acetyls,Glycoprotein acetyls,gp,4,,Inflammation,,PPI_bf,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2,45569,0.025960676,0.002318519,4.6e-29,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2 + f.21001.0.0 + current_smk + log_alcohol_weekly_g,45087,0.015613404,0.002187129,9.56e-13,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2 + f.21001.0.0 + current_smk + log_alcohol_weekly_g + f.189.0.0 + waist_hip_ratio + as.factor(father_history) + as.factor(mother_history),40423,0.009984765,0.002284827,1.25e-05,1.65e-28,2.86e-12,2.8e-05
19,X23478.0.0,Creatinine,Creatinine,crea,5,,Fluid balance,,PPI_bf,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2,45569,0.001486885,0.000236122,3.06e-10,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2 + f.21001.0.0 + current_smk + log_alcohol_weekly_g,45087,0.001065706,0.000235494,6.04e-06,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2 + f.21001.0.0 + current_smk + log_alcohol_weekly_g + f.189.0.0 + waist_hip_ratio + as.factor(father_history) + as.factor(mother_history),40423,0.000845074,0.000248636,0.000677372,5.83e-10,1.13e-05,0.001247528
20,X23479.0.0,Albumin,Albumin,alb,5,,Fluid balance,,PPI_bf,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2,45569,-0.507545715,0.065555878,9.97e-15,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2 + f.21001.0.0 + current_smk + log_alcohol_weekly_g,45087,-0.364611716,0.065045078,2.09e-08,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2 + f.21001.0.0 + current_smk + log_alcohol_weekly_g + f.189.0.0 + waist_hip_ratio + as.factor(father_history) + as.factor(mother_history),40423,-0.323563903,0.069235268,2.97e-06,2.26e-14,4.9e-08,7.12e-06
21,X23442.0.0,Total Fatty Acids,Total fatty acids,totfa,6,,Fatty acids,,PPI_bf,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2,45569,0.173660389,0.048108354,0.00030679,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2 + f.21001.0.0 + current_smk + log_alcohol_weekly_g,45087,0.113812597,0.047628049,0.016870227,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2 + f.21001.0.0 + current_smk + log_alcohol_weekly_g + f.189.0.0 + waist_hip_ratio + as.factor(father_history) + as.factor(mother_history),40423,0.005807325,0.050126749,0.907769764,0.000427241,0.023208213,0.925612904
22,X23444.0.0,Omega-3 Fatty Acids,Omega-3,faw3,6,,Fatty acids,,PPI_bf,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2,45569,-0.006848253,0.004285352,0.110036387,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2 + f.21001.0.0 + current_smk + log_alcohol_weekly_g,45087,-0.001938995,0.004289413,0.651240782,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2 + f.21001.0.0 + current_smk + log_alcohol_weekly_g + f.189.0.0 + waist_hip_ratio + as.factor(father_history) + as.factor(mother_history),40423,-0.00547275,0.004575164,0.231630738,0.126496124,0.688865568,0.280252933
23,X23445.0.0,Omega-6 Fatty Acids,Omega-6,faw6,6,,Fatty acids,,PPI_bf,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2,45569,-0.018282919,0.013190388,0.165729583,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2 + f.21001.0.0 + current_smk + log_alcohol_weekly_g,45087,-0.017047255,0.013290462,0.199614883,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2 + f.21001.0.0 + current_smk + log_alcohol_weekly_g + f.189.0.0 + waist_hip_ratio + as.factor(father_history) + as.factor(mother_history),40423,-0.03352186,0.014137706,0.017740087,0.187917423,0.234896531,0.027099888
24,X23446.0.0,Polyunsaturated Fatty Acids,PUFA,pufa,6,,Fatty acids,,PPI_bf,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2,45569,-0.025130768,0.015537952,0.10580328,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2 + f.21001.0.0 + current_smk + log_alcohol_weekly_g,45087,-0.018985869,0.015633631,0.224591928,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2 + f.21001.0.0 + current_smk + log_alcohol_weekly_g + f.189.0.0 + waist_hip_ratio + as.factor(father_history) + as.factor(mother_history),40423,-0.038994294,0.016637432,0.019094822,0.122193955,0.261813624,0.02892099
25,X23447.0.0,Monounsaturated Fatty Acids,MUFA,mufa,6,,Fatty acids,,PPI_bf,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2,45569,0.113429483,0.016666849,1.02e-11,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2 + f.21001.0.0 + current_smk + log_alcohol_weekly_g,45087,0.070949148,0.016189649,1.18e-05,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2 + f.21001.0.0 + current_smk + log_alcohol_weekly_g + f.189.0.0 + waist_hip_ratio + as.factor(father_history) + as.factor(mother_history),40423,0.026541084,0.016899464,0.116300131,2.09e-11,2.15e-05,0.151934589
26,X23448.0.0,Saturated Fatty Acids,SFA,sfa,6,,Fatty acids,,PPI_bf,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2,45569,0.085357701,0.01916105,8.42e-06,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2 + f.21001.0.0 + current_smk + log_alcohol_weekly_g,45087,0.061844778,0.018846082,0.001033086,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2 + f.21001.0.0 + current_smk + log_alcohol_weekly_g + f.189.0.0 + waist_hip_ratio + as.factor(father_history) + as.factor(mother_history),40423,0.018258041,0.019792121,0.356278374,1.29e-05,0.001605732,0.409572092
27,X23449.0.0,Linoleic Acid,LA,la,6,,Fatty acids,,PPI_bf,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2,45569,-0.020514925,0.013214768,0.12056773,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2 + f.21001.0.0 + current_smk + log_alcohol_weekly_g,45087,-0.02002095,0.013353781,0.133810101,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2 + f.21001.0.0 + current_smk + log_alcohol_weekly_g + f.189.0.0 + waist_hip_ratio + as.factor(father_history) + as.factor(mother_history),40423,-0.034548655,0.014208949,0.015041947,0.138092754,0.162371907,0.023349462
28,X23450.0.0,Docosahexaenoic Acid,DHA,dha,6,,Fatty acids,,PPI_bf,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2,45569,-0.008350309,0.001594942,1.65e-07,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2 + f.21001.0.0 + current_smk + log_alcohol_weekly_g,45087,-0.004008184,0.001568688,0.0106184,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2 + f.21001.0.0 + current_smk + log_alcohol_weekly_g + f.189.0.0 + waist_hip_ratio + as.factor(father_history) + as.factor(mother_history),40423,-0.004144093,0.001674807,0.013351225,2.75e-07,0.014870537,0.021014255
29,X23443.0.0,Degree of Unsaturation,Unsaturation,unsat,7,,Fatty acids,,PPI_bf,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2,45569,-0.014560667,0.001549539,5.88e-21,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2 + f.21001.0.0 + current_smk + log_alcohol_weekly_g,45087,-0.009350282,0.001488395,3.37e-10,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2 + f.21001.0.0 + current_smk + log_alcohol_weekly_g + f.189.0.0 + waist_hip_ratio + as.factor(father_history) + as.factor(mother_history),40423,-0.006468687,0.00156776,3.7e-05,1.73e-20,8.97e-10,7.95e-05
30,X23451.0.0,Ratio of omega-3 fatty acids to total fatty acids,Omega-3 %,faw3byfa,7,,Fatty acid ratios,,PPI_bf,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2,45569,-0.001143114,0.000302078,0.000154423,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2 + f.21001.0.0 + current_smk + log_alcohol_weekly_g,45087,-0.000507982,0.000299695,0.090082215,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2 + f.21001.0.0 + current_smk + log_alcohol_weekly_g + f.189.0.0 + waist_hip_ratio + as.factor(father_history) + as.factor(mother_history),40423,-0.000394225,0.000319366,0.217061211,0.000219973,0.112040318,0.264165404
31,X23452.0.0,Ratio of omega-6 fatty acids to total fatty acids,Omega-6 %,faw6byfa,7,,Fatty acid ratios,,PPI_bf,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2,45569,-0.006308201,0.000710165,6.76e-19,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2 + f.21001.0.0 + current_smk + log_alcohol_weekly_g,45087,-0.004402228,0.000677842,8.42e-11,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2 + f.21001.0.0 + current_smk + log_alcohol_weekly_g + f.189.0.0 + waist_hip_ratio + as.factor(father_history) + as.factor(mother_history),40423,-0.002614663,0.000706187,0.000213761,1.85e-18,2.31e-10,0.000419304
32,X23453.0.0,Ratio of polyunsaturated fatty acids to total fatty acids,PUFA %,pufabyfa,7,,Fatty acid ratios,,PPI_bf,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2,45569,-0.00745125,0.000739225,7.19e-24,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2 + f.21001.0.0 + current_smk + log_alcohol_weekly_g,45087,-0.00491015,0.000694422,1.56e-12,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2 + f.21001.0.0 + current_smk + log_alcohol_weekly_g + f.189.0.0 + waist_hip_ratio + as.factor(father_history) + as.factor(mother_history),40423,-0.003008832,0.000721884,3.08e-05,2.3e-23,4.62e-12,6.65e-05
33,X23454.0.0,Ratio of monounsaturated fatty acids to total fatty acids,MUFA %,mufabyfa,7,,Fatty acid ratios,,PPI_bf,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2,45569,0.005609195,0.000523748,9.86e-27,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2 + f.21001.0.0 + current_smk + log_alcohol_weekly_g,45087,0.003238153,0.000485791,2.66e-11,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2 + f.21001.0.0 + current_smk + log_alcohol_weekly_g + f.189.0.0 + waist_hip_ratio + as.factor(father_history) + as.factor(mother_history),40423,0.001813874,0.000503697,0.000317225,3.35e-26,7.52e-11,0.000608544
34,X23455.0.0,Ratio of saturated fatty acids to total fatty acids,SFA %,sfabyfa,7,,Fatty acid ratios,,PPI_bf,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2,45569,0.001841707,0.000386434,1.89e-06,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2 + f.21001.0.0 + current_smk + log_alcohol_weekly_g,45087,0.001671595,0.000379033,1.04e-05,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2 + f.21001.0.0 + current_smk + log_alcohol_weekly_g + f.189.0.0 + waist_hip_ratio + as.factor(father_history) + as.factor(mother_history),40423,0.001194747,0.000401899,0.002953148,2.96e-06,1.9e-05,0.005078273
35,X23456.0.0,Ratio of linoleic acid to total fatty acids,LA %,labyfa,7,,Fatty acid ratios,,PPI_bf,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2,45569,-0.005508843,0.000649822,2.37e-17,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2 + f.21001.0.0 + current_smk + log_alcohol_weekly_g,45087,-0.004047333,0.00062112,7.29e-11,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2 + f.21001.0.0 + current_smk + log_alcohol_weekly_g + f.189.0.0 + waist_hip_ratio + as.factor(father_history) + as.factor(mother_history),40423,-0.002859594,0.000652775,1.19e-05,6.06e-17,2e-10,2.68e-05
36,X23457.0.0,Ratio of docosahexaenoic acid to total fatty acids,DHA %,dhabyfa,7,,Fatty acid ratios,,PPI_bf,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2,45569,-0.00091525,0.000131862,3.95e-12,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2 + f.21001.0.0 + current_smk + log_alcohol_weekly_g,45087,-0.000452217,0.000127257,0.000380409,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2 + f.21001.0.0 + current_smk + log_alcohol_weekly_g + f.189.0.0 + waist_hip_ratio + as.factor(father_history) + as.factor(mother_history),40423,-0.000295264,0.000134783,0.02848237,8.24e-12,0.00061269,0.041816688
37,X23458.0.0,Ratio of polyunsaturated fatty acids to monounsaturated fatty acids,PUFA/MUFA,pufabymufa,7,,Fatty acid ratios,,PPI_bf,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2,45569,-0.070754716,0.006809284,2.91e-25,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2 + f.21001.0.0 + current_smk + log_alcohol_weekly_g,45087,-0.041471396,0.006306668,4.89e-11,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2 + f.21001.0.0 + current_smk + log_alcohol_weekly_g + f.189.0.0 + waist_hip_ratio + as.factor(father_history) + as.factor(mother_history),40423,-0.02311888,0.006549524,0.000416248,9.44e-25,1.36e-10,0.000787581
